benchmark,matrix_size,num_threads,block_size,chunk_size,mflops
dmatdmatadd,3,1,1-128,20,548.537
dmatdmatadd,4,1,1-128,20,480.527
dmatdmatadd,5,1,1-128,20,930.862
dmatdmatadd,6,1,1-128,20,1172.1
dmatdmatadd,7,1,1-128,20,830.037
dmatdmatadd,8,1,1-128,20,1658.47
dmatdmatadd,9,1,1-128,20,1459.69
dmatdmatadd,10,1,1-128,20,1685.45
dmatdmatadd,11,1,1-128,20,1874.05
dmatdmatadd,12,1,1-128,20,2061.39
dmatdmatadd,13,1,1-128,20,1552.67
dmatdmatadd,14,1,1-128,20,1664.17
dmatdmatadd,16,1,1-128,20,2198.01
dmatdmatadd,18,1,1-128,20,1910.59
dmatdmatadd,20,1,1-128,20,2138.49
dmatdmatadd,23,1,1-128,20,2342.11
dmatdmatadd,26,1,1-128,20,2117.93
dmatdmatadd,30,1,1-128,20,2333.55
dmatdmatadd,34,1,1-128,20,2318.8
dmatdmatadd,39,1,1-128,20,1381.95
dmatdmatadd,45,1,1-128,20,1491.75
dmatdmatadd,52,1,1-128,20,1574.81
dmatdmatadd,60,1,1-128,20,1475.05
dmatdmatadd,69,1,1-128,20,1486.24
dmatdmatadd,79,1,1-128,20,1590.12
dmatdmatadd,90,1,1-128,20,1542.39
dmatdmatadd,103,1,1-128,20,1503.16
dmatdmatadd,118,1,1-128,20,1353.03
