runtime,node,benchmark,matrix_size,num_threads,block_size_row,block_size_col,num_elements,num_elements_uncomplete,chunk_size,grain_size,num_blocks,num_blocks/chunk_size,num_elements*chunk_size,num_blocks/num_threads,num_blocks/(chunk_size*(num_threads-1)),L1cache,L2cache,L3cache,cache_line,set_associativity,datatype,cost,simd_size,execution_time,num_tasks,mflops
openmp,marvin,dmatdmatadd,200,1,32,64,2048,256,28,44800,28,1.0,57344,28.0,0,32768,262144,20971520,8,512,8,21504.0,4,42.17011635789356,1.0,948.539
openmp,marvin,dmatdmatadd,230,1,32,64,2048,1216,32,58880,32,1.0,65536,32.0,0,32768,262144,20971520,8,512,8,24576.0,4,55.91981889226313,1.0,962.521
openmp,marvin,dmatdmatadd,264,1,32,64,2048,256,45,76032,45,1.0,92160,45.0,0,32768,262144,20971520,8,512,8,34560.0,4,71.85443538451545,1.0,969.961
openmp,marvin,dmatdmatadd,300,1,32,64,2048,1408,50,96000,50,1.0,102400,50.0,0,32768,262144,20971520,8,512,8,38400.0,4,92.33600868368863,1.0,974.701
openmp,marvin,dmatdmatadd,345,1,32,64,2048,800,66,121440,66,1.0,135168,66.0,0,32768,262144,20971520,8,512,8,50688.0,4,128.712997563993,1.0,940.884
openmp,marvin,dmatdmatadd,396,1,32,64,2048,384,91,164736,91,1.0,186368,91.0,0,32768,262144,20971520,8,512,8,69888.0,4,158.53723880166973,1.0,989.143
openmp,marvin,dmatdmatadd,455,1,32,64,2048,224,120,218400,120,1.0,245760,120.0,0,32768,262144,20971520,8,512,8,92160.0,4,210.90448056393743,1.0,985.925
openmp,marvin,dmatdmatadd,523,1,32,64,2048,352,153,284512,153,1.0,313344,153.0,0,32768,262144,20971520,8,512,8,117504.0,4,280.5546189293852,1.0,978.69
openmp,marvin,dmatdmatadd,600,1,32,64,2048,768,190,364800,190,1.0,389120,190.0,0,32768,262144,20971520,8,512,8,145920.0,4,366.49203999649797,1.0,982.286
openmp,marvin,dmatdmatadd,690,1,32,64,2048,1600,242,485760,242,1.0,495616,242.0,0,32768,262144,20971520,8,512,8,185856.0,4,490.0975253792171,1.0,977.079
openmp,marvin,dmatdmatadd,793,1,32,64,2048,800,325,634400,325,1.0,665600,325.0,0,32768,262144,20971520,8,512,8,249600.0,4,829.7584515757286,1.0,763.615
