runtime,node,benchmark,matrix_size,num_threads,block_size_row,block_size_col,num_elements,work_per_core,w1,w2,w3,w4,w5,w6,w7,w8,chunk_size,grain_size,num_blocks,num_blocks/chunk_size,num_elements*chunk_size,num_blocks/num_threads,num_blocks/(chunk_size*(num_threads-1)),L1cache,L2cache,L3cache,cache_line,set_associativity,datatype,cost,simd_size,execution_time,num_tasks,mflops
hpx,ws_marvin,dmatdmatadd,4222,1,4,1024,4096,17833728,17833728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,202752,5280,88.0,245760,5280.0,0,32768,262144,20971520,8,512,8,92160.0,4,48240.85630584207,88.0,369.681
hpx,ws_marvin,dmatdmatadd,6420,1,4,1024,4096,41216400,41216400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,221824,11235,187.25,245760,11235.0,0,32768,262144,20971520,8,512,8,92160.0,4,94374.36603141966,188.0,436.733
hpx,ws_marvin,dmatdmatadd,7000,1,4,1024,4096,49000000,49000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,240384,12250,204.16666666666666,245760,12250.0,0,32768,262144,20971520,8,512,8,92160.0,4,108560.07249154229,205.0,451.363
hpx,ws_marvin,dmatdmatadd,690,1,4,1024,2768,477480,477480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,193760,173,2.4714285714285715,193760,173.0,0,32768,262144,20971520,8,512,8,72660.0,4,478.69684738605537,3.0,997.458
hpx,ws_marvin,dmatdmatadd,4222,1,4,1024,4096,17833728,17833728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,236544,5280,75.42857142857143,286720,5280.0,0,32768,262144,20971520,8,512,8,107520.0,4,48221.29026501293,76.0,369.831
hpx,ws_marvin,dmatdmatadd,6420,1,4,1024,4096,41216400,41216400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,256800,11235,160.5,286720,11235.0,0,32768,262144,20971520,8,512,8,107520.0,4,92794.20041875858,161.0,444.17
hpx,ws_marvin,dmatdmatadd,7000,1,4,1024,4096,49000000,49000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,280000,12250,175.0,286720,12250.0,0,32768,262144,20971520,8,512,8,107520.0,4,108184.96538081107,175.0,452.928
hpx,ws_marvin,dmatdmatadd,690,1,4,1024,2768,477480,477480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,221440,173,2.1625,221440,173.0,0,32768,262144,20971520,8,512,8,83040.0,4,481.94570893902903,3.0,990.734
hpx,ws_marvin,dmatdmatadd,4222,1,4,1024,4096,17833728,17833728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,270336,5280,66.0,327680,5280.0,0,32768,262144,20971520,8,512,8,122880.0,4,48081.27082726714,66.0,370.908
hpx,ws_marvin,dmatdmatadd,6420,1,4,1024,4096,41216400,41216400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,294768,11235,140.4375,327680,11235.0,0,32768,262144,20971520,8,512,8,122880.0,4,93292.1984884529,141.0,441.799
hpx,ws_marvin,dmatdmatadd,7000,1,4,1024,4096,49000000,49000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,320288,12250,153.125,327680,12250.0,0,32768,262144,20971520,8,512,8,122880.0,4,109144.52963162606,154.0,448.946
hpx,ws_marvin,dmatdmatadd,690,1,4,1024,2768,477480,477480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,249120,173,1.9222222222222223,249120,173.0,0,32768,262144,20971520,8,512,8,93420.0,4,474.4718484806328,2.0,1006.34
hpx,ws_marvin,dmatdmatadd,4222,1,4,1024,4096,17833728,17833728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,304128,5280,58.666666666666664,368640,5280.0,0,32768,262144,20971520,8,512,8,138240.0,4,48171.53368466261,59.0,370.213
hpx,ws_marvin,dmatdmatadd,6420,1,4,1024,4096,41216400,41216400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,332736,11235,124.83333333333333,368640,11235.0,0,32768,262144,20971520,8,512,8,138240.0,4,93894.71573978732,125.0,438.964
